date,service,type_document,chemin_fichier
2022-09-19,Fonction publique/Personnel titulaires et stagiaires de la F.P.T.,deliberations,module1-nettoyage/data/classe\deliberations\2022\fonction-publique-personnel-titulaires-et-stagiair\2022-09-19_deliberations_fonction-publique-personnel-titulaires-et-stagiair_2022-0286.csv
2022-09-19,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-09-19_deliberations_finances-locales-subventions_2022-0279.csv
2022-09-19,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-09-19_deliberations_finances-locales-subventions_2022-0278.csv
2022-09-19,Domaine et patrimoine/Alienations,deliberations,module1-nettoyage/data/classe\deliberations\2022\domaine-et-patrimoine-alienations\2022-09-19_deliberations_domaine-et-patrimoine-alienations_2022-0265.csv
2022-09-19,Commande Publique/Autres types de contrats,deliberations,module1-nettoyage/data/classe\deliberations\2022\commande-publique-autres-types-de-contrats\2022-09-19_deliberations_commande-publique-autres-types-de-contrats_2022-0264.csv
2022-09-19,Domaine et patrimoine/Acquisitions,deliberations,module1-nettoyage/data/classe\deliberations\2022\domaine-et-patrimoine-acquisitions\2022-09-19_deliberations_domaine-et-patrimoine-acquisitions_2022-0262.csv
2022-09-19,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-09-19_deliberations_finances-locales-subventions_2022-0259.csv
2022-09-19,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-09-19_deliberations_finances-locales-subventions_2022-0256.csv
2022-09-19,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-09-19_deliberations_finances-locales-subventions_2022-0250.csv
2022-09-19,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-09-19_deliberations_finances-locales-subventions_2022-0245.csv
2022-06-27,Finances locales/Divers,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-divers\2022-06-27_deliberations_finances-locales-divers_2022-0152.csv
2022-06-27,Finances locales/Divers,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-divers\2022-06-27_deliberations_finances-locales-divers_2022-150.csv
2022-06-27,Finances locales/Divers,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-divers\2022-06-27_deliberations_finances-locales-divers_2022-0153.csv
2022-06-27,Fonction publique/Personnel titulaires et stagiaires de la F.P.T.,deliberations,module1-nettoyage/data/classe\deliberations\2022\fonction-publique-personnel-titulaires-et-stagiair\2022-06-27_deliberations_fonction-publique-personnel-titulaires-et-stagiair_2022-0160.csv
2022-06-27,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-06-27_deliberations_finances-locales-subventions_2022-0228.csv
2022-06-27,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-06-27_deliberations_finances-locales-subventions_2022-0217.csv
2022-06-27,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-06-27_deliberations_finances-locales-subventions_2022-0216.csv
2022-06-27,Finances locales/Fonds de concours,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-fonds-de-concours\2022-06-27_deliberations_finances-locales-fonds-de-concours_2022-0209.csv
2022-06-27,Finances locales/Fiscalite,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-fiscalite\2022-06-27_deliberations_finances-locales-fiscalite_2022-0207.csv
2022-06-27,Domaine et patrimoine/Acquisitions,deliberations,module1-nettoyage/data/classe\deliberations\2022\domaine-et-patrimoine-acquisitions\2022-06-27_deliberations_domaine-et-patrimoine-acquisitions_2022-0204.csv
2022-06-27,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-06-27_deliberations_finances-locales-subventions_2022-0197.csv
2022-06-27,Finances locales/Divers,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-divers\2022-06-27_deliberations_finances-locales-divers_2022-0195.csv
2022-06-27,Domaines de competences par themes/Emploi-formation professionnelle,deliberations,module1-nettoyage/data/classe\deliberations\2022\domaines-de-competences-par-themes-emploi-formatio\2022-06-27_deliberations_domaines-de-competences-par-themes-emploi-formatio_2022-0193.csv
2022-06-27,Finances locales/Divers,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-divers\2022-06-27_deliberations_finances-locales-divers_2022-0192.csv
2022-06-27,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-06-27_deliberations_finances-locales-subventions_2022-0191.csv
2022-06-27,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-06-27_deliberations_finances-locales-subventions_2022-0189.csv
2022-06-27,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-06-27_deliberations_finances-locales-subventions_2022-0187.csv
2022-06-27,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-06-27_deliberations_finances-locales-subventions_2022-0184.csv
2022-06-27,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-06-27_deliberations_finances-locales-subventions_2022-0172.csv
2022-06-27,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-06-27_deliberations_finances-locales-subventions_2022-0163.csv
2022-06-27,Commande Publique/Actes relatifs a la maitrise d oeuvre,deliberations,module1-nettoyage/data/classe\deliberations\2022\commande-publique-actes-relatifs-a-la-maitrise-d-o\2022-06-27_deliberations_commande-publique-actes-relatifs-a-la-maitrise-d-o_2022-0158.csv
2022-06-27,Commande Publique/Transactions /protocole d accord transactionnel,deliberations,module1-nettoyage/data/classe\deliberations\2022\commande-publique-transactions-protocole-d-accord-\2022-06-27_deliberations_commande-publique-transactions-protocole-d-accord-_2022-0198.csv
2022-06-27,Commande Publique/Marches publics,deliberations,module1-nettoyage/data/classe\deliberations\2022\commande-publique-marches-publics\2022-06-27_deliberations_commande-publique-marches-publics_2022-0199.csv
2022-03-14,Finances locales/Emprunts,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-emprunts\2022-03-14_deliberations_finances-locales-emprunts_2022-0029.csv
2022-03-14,Finances locales/Fiscalite,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-fiscalite\2022-03-14_deliberations_finances-locales-fiscalite_2022-0027.csv
2022-03-14,Finances locales/Divers,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-divers\2022-03-14_deliberations_finances-locales-divers_2022-0025.csv
2022-03-14,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-03-14_deliberations_finances-locales-subventions_2022-0072.csv
2022-03-14,Urbanisme/Actes relatifs au droit d occupation ou d utilisation des sols,deliberations,module1-nettoyage/data/classe\deliberations\2022\urbanisme-actes-relatifs-au-droit-d-occupation-ou-\2022-03-14_deliberations_urbanisme-actes-relatifs-au-droit-d-occupation-ou-_2022-0066.csv
2022-03-14,Domaine et patrimoine/Alienations,deliberations,module1-nettoyage/data/classe\deliberations\2022\domaine-et-patrimoine-alienations\2022-03-14_deliberations_domaine-et-patrimoine-alienations_2022-0067.csv
2022-03-14,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-03-14_deliberations_finances-locales-subventions_2022-0054.csv
2022-03-14,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-03-14_deliberations_finances-locales-subventions_2022-0059.csv
2022-03-14,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-03-14_deliberations_finances-locales-subventions_2022-0061.csv
2022-03-14,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-03-14_deliberations_finances-locales-subventions_2022-0047.csv
2022-03-14,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-03-14_deliberations_finances-locales-subventions_2022-0042.csv
2022-03-14,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-03-14_deliberations_finances-locales-subventions_2022-0040bis.csv
2022-03-14,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-03-14_deliberations_finances-locales-subventions_2022-0033.csv
2022-03-14,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-03-14_deliberations_finances-locales-subventions_2022-0022.csv
2022-01-17,Finances locales/Divers,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-divers\2022-01-17_deliberations_finances-locales-divers_2022-0008.csv
2022-01-17,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-01-17_deliberations_finances-locales-subventions_2022-0005.csv
2022-05-16,Fonction publique/Personnel titulaires et stagiaires de la F.P.T.,deliberations,module1-nettoyage/data/classe\deliberations\2022\fonction-publique-personnel-titulaires-et-stagiair\2022-05-16_deliberations_fonction-publique-personnel-titulaires-et-stagiair_2022-0143.csv
2022-05-16,Domaine et patrimoine/Limites territoriales,deliberations,module1-nettoyage/data/classe\deliberations\2022\domaine-et-patrimoine-limites-territoriales\2022-05-16_deliberations_domaine-et-patrimoine-limites-territoriales_2022-0136.csv
2022-05-16,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-05-16_deliberations_finances-locales-subventions_2022-0129.csv
2022-05-16,Domaine et patrimoine/Acquisitions,deliberations,module1-nettoyage/data/classe\deliberations\2022\domaine-et-patrimoine-acquisitions\2022-05-16_deliberations_domaine-et-patrimoine-acquisitions_2022-0121.csv
2022-05-16,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-05-16_deliberations_finances-locales-subventions_2022-0127.csv
2022-05-16,Domaine et patrimoine/Acquisitions,deliberations,module1-nettoyage/data/classe\deliberations\2022\domaine-et-patrimoine-acquisitions\2022-05-16_deliberations_domaine-et-patrimoine-acquisitions_2022-0120.csv
2022-05-16,Domaine et patrimoine/Acquisitions,deliberations,module1-nettoyage/data/classe\deliberations\2022\domaine-et-patrimoine-acquisitions\2022-05-16_deliberations_domaine-et-patrimoine-acquisitions_2022-0118.csv
2022-05-16,Domaine et patrimoine/Alienations,deliberations,module1-nettoyage/data/classe\deliberations\2022\domaine-et-patrimoine-alienations\2022-05-16_deliberations_domaine-et-patrimoine-alienations_2022-0114.csv
2022-05-16,Domaine et patrimoine/Alienations,deliberations,module1-nettoyage/data/classe\deliberations\2022\domaine-et-patrimoine-alienations\2022-05-16_deliberations_domaine-et-patrimoine-alienations_2022-0115.csv
2022-05-16,Domaine et patrimoine/Alienations,deliberations,module1-nettoyage/data/classe\deliberations\2022\domaine-et-patrimoine-alienations\2022-05-16_deliberations_domaine-et-patrimoine-alienations_2022-0110.csv
2022-05-16,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-05-16_deliberations_finances-locales-subventions_2022-0105.csv
2022-05-16,Finances locales/Fiscalite,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-fiscalite\2022-05-16_deliberations_finances-locales-fiscalite_2022-0100.csv
2022-05-16,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-05-16_deliberations_finances-locales-subventions_2022-0095.csv
2022-05-16,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-05-16_deliberations_finances-locales-subventions_2022-0088.csv
2022-05-16,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-05-16_deliberations_finances-locales-subventions_2022-0082.csv
2023-12-04,Institutions et vie politique/Intercommunalite,deliberations,module1-nettoyage/data/classe\deliberations\2023\institutions-et-vie-politique-intercommunalite\2023-12-04_deliberations_institutions-et-vie-politique-intercommunalite_2023-0461.csv
2023-12-04,"Finances locales/Prise de participation (SEM, etc...)",deliberations,module1-nettoyage/data/classe\deliberations\2023\finances-locales-prise-de-participation-sem-etc\2023-12-04_deliberations_finances-locales-prise-de-participation-sem-etc_2023-0434.csv
2023-12-04,Domaine et patrimoine/Alienations,deliberations,module1-nettoyage/data/classe\deliberations\2023\domaine-et-patrimoine-alienations\2023-12-04_deliberations_domaine-et-patrimoine-alienations_2023-0427.csv
