organom;secteur;adrenumero;adreextension;adreimmeuble;adrerue;adrecoordx;adrecoordy;longitude;latitude;rivolide;quarnom;id_sitorg;latlong;nom_specialite_principale;date_recuperation;id_projet
Ecole élémentaire Guyenne;2;23.0;;;;1349049.0000;7224170.0000;-1.717180418;48.1208008;AVENUE DE GUYENNE;Villejean - Beauregard;4874;{'lon': -1.717180418, 'lat': 48.1208008};Ecole élémentaire;2026-08-18;ECOLE-0011
Ecole élémentaire Jean Moulin;2;8.0;;;RUE DE BOURGOGNE;1349812.0000;7223833.0000;-1.706672866;48.1181934;RUE DE BOURGOGNE;Villejean - Beauregard;4974;{'lon': -1.706672866, 'lat': 48.1181934};Ecole élémentaire;2026-08-18;ECOLE-0012
Ecole élémentaire Robert Doisneau;2;6.0;;;;1354477.0000;7220405.0000;-1.641356503;48.08996382;RUE RENE-YVES CRESTON;Francisco-Ferrer - Landry - Poterie;177;{'lon': -1.641356503, 'lat': 48.08996382};Ecole élémentaire;2026-08-18;ECOLE-0013
Ecole élémentaire Sonia-Delaunay;2;6.0;;;;1350343.0000;7225182.0000;-1.700663842;48.130591;RUE MARIE DORVAL;Villejean - Beauregard;5144;{'lon': -1.700663842, 'lat': 48.130591};Ecole élémentaire;2026-08-18;ECOLE-0014
Ecole maternelle Mauconseil;3;7.0;;;;1350855.0000;7221552.0000;-1.69082347;48.09828795;RUE DE LA COURROUZE;Sud-Gare;1514;{'lon': -1.69082347, 'lat': 48.09828795};Ecole maternelle;2026-08-18;ECOLE-0015
Ecole maternelle Quineleu;1;1.0;;;;1352475.0000;7221841.0000;-1.669347985;48.10176344;RUE DE RIAVAL;Sud-Gare;183;{'lon': -1.669347985, 'lat': 48.10176344};Ecole maternelle;2026-08-18;ECOLE-0016
Ecole maternelle Trégain;1;13.0;;;;1353168.0000;7224515.0000;-1.662235217;48.12614466;RUE DE TREGAIN;Maurepas - Bellangerais;323;{'lon': -1.662235217, 'lat': 48.12614466};Ecole maternelle;2026-08-18;ECOLE-0017
Ecole élémentaire Châteaugiron - Le Landry;2;111.0;bis;;;1354211.0000;7221513.0000;-1.645817469;48.099764;RUE DE CHATEAUGIRON;Francisco-Ferrer - Landry - Poterie;1133;{'lon': -1.645817469, 'lat': 48.099764};Ecole élémentaire;2026-08-18;ECOLE-0018
Ecole élémentaire Colombier;3;9.0;;;;1351472.0000;7222005.0000;-1.682935565;48.10269271;RUE DU DOCTEUR FRANCIS JOLY;Centre;1537;{'lon': -1.682935565, 'lat': 48.10269271};Ecole élémentaire;2026-08-18;ECOLE-0019
Ecole élémentaire Contour Saint-Aubin;2;10.0;;;;1351772.0000;7223429.0000;-1.680071448;48.11563886;CONTOUR SAINT-AUBIN;Centre;5174;{'lon': -1.680071448, 'lat': 48.11563886};Ecole élémentaire;2026-08-18;ECOLE-0020
Ecole élémentaire Jean Zay;1;3.0;;E;PLACE SAINT-MELAINE;1352363.0000;7223314.0000;-1.672044732;48.11492509;PLACE SAINT-MELAINE;Thabor - Saint-Hélier -  Alphonse Guérin;231;{'lon': -1.672044732, 'lat': 48.11492509};Ecole élémentaire;2026-08-18;ECOLE-0021
Ecole maternelle Moulin du Comte;3;103.0;;;RUE DE LORIENT;1349443.0000;7222785.0000;-1.710769735;48.10858021;RUE DE LORIENT;Bourg-L'Evêque - La Touche - Moulin du Comte;5082;{'lon': -1.710769735, 'lat': 48.10858021};Ecole maternelle;2026-08-18;ECOLE-0022
Ecole maternelle Jacques Prévert;3;40.0;;;;1351731.0000;7220384.0000;-1.678131457;48.08827791;BOULEVARD ALBERT 1ER;Bréquigny;1237;{'lon': -1.678131457, 'lat': 48.08827791};Ecole maternelle;2026-08-18;ECOLE-0023
Ecole maternelle Pablo Picasso;1;11.0;;;;1353370.0000;7222412.0000;-1.657819099;48.10737762;RUE PHILIPPE NORDMANN;Thabor - Saint-Hélier -  Alphonse Guérin;66;{'lon': -1.657819099, 'lat': 48.10737762};Ecole maternelle;2026-08-18;ECOLE-0024
Ecole élémentaire Moulin du Comte;2;101.0;;;RUE DE LORIENT;1349545.0000;7222812.0000;-1.709412993;48.10887716;RUE DE LORIENT;Bourg-L'Evêque - La Touche - Moulin du Comte;5081;{'lon': -1.709412993, 'lat': 48.10887716};Ecole élémentaire;2026-08-18;ECOLE-0025
Ecole Diwan de Villejean;2;9.0;;;Rue de Flandre;1349784.3750;7224333.5000;-1.7074622498;48.1226646835;RUE DE FLANDRE;Villejean - Beauregard;1433;{'lon': -1.7074622498, 'lat': 48.1226646835};Ecole maternelle;2026-08-18;ECOLE-0026
Ecole élémentaire Champion de Cicé;3;44.0;;;RUE CHAMPION DE CICE;1349756.0000;7222107.0000;-1.706009453;48.10266557;RUE CHAMPION DE CICE;Cleunay - Arsenal - Redon - La Courrouze;842;{'lon': -1.706009453, 'lat': 48.10266557};Ecole élémentaire;2026-08-18;ECOLE-0027
Ecole élémentaire Joseph Lotte;2;1.0;;;RUE JOSEPH LOTTE;1351344.0000;7224376.0000;-1.68657993;48.12390646;RUE JOSEPH LOTTE;Saint-Martin;4985;{'lon': -1.68657993, 'lat': 48.12390646};Ecole élémentaire;2026-08-18;ECOLE-0028
Ecole maternelle Guillevic;2;2.0;;;CHEMIN DU LANDREL;1353452.0000;7220412.0000;-1.655098204;48.08946667;CHEMIN DU LANDREL;Le Blosne;5031;{'lon': -1.655098204, 'lat': 48.08946667};Ecole maternelle;2026-08-18;ECOLE-0029
Ecole maternelle Marcel-Pagnol;1;19.0;;;;1354017.0000;7223379.0000;-1.649927265;48.11641489;RUE JEANNE JUGAN;Jeanne d'Arc - Longs Champs - Beaulieu;4982;{'lon': -1.649927265, 'lat': 48.11641489};Ecole maternelle;2026-08-18;ECOLE-0030
Ecole maternelle Jean Moulin;2;5.0;;;;1349859.0000;7223869.0000;-1.706070257;48.11854279;RUE JEAN MOULIN;Villejean - Beauregard;4975;{'lon': -1.706070257, 'lat': 48.11854279};Ecole maternelle;2026-08-18;ECOLE-0031
Ecole élémentaire Simone Veil;3;;;;;;;;;;;6361;;Ecole élémentaire;2026-08-18;ECOLE-0032
Ecole élémentaire Clôteaux;3;5.0;;;;1350631.0000;7220001.0000;-1.692559902;48.08424323;RUE GOUVERNEUR-GENERAL YVES CHATEL;Bréquigny;4846;{'lon': -1.692559902, 'lat': 48.08424323};Ecole élémentaire;2026-08-18;ECOLE-0033
Ecole élémentaire Gantelles;1;1.0;;;;1353284.0000;7225121.0000;-1.661170206;48.13164843;RUE D'ERLANGEN;Maurepas - Bellangerais;4712;{'lon': -1.661170206, 'lat': 48.13164843};Ecole élémentaire;2026-08-18;ECOLE-0034
Ecole élémentaire Trégain;1;13.0;;;;1353305.0000;7224528.0000;-1.660402733;48.12633936;RUE DE TREGAIN;Maurepas - Bellangerais;322;{'lon': -1.660402733, 'lat': 48.12633936};Ecole élémentaire;2026-08-18;ECOLE-0035
